Putusan,Nomor,Bulan,Pemohon,Termohon,Tingkat proses,Klasifikasi,Tahun,Amar,Amar Lainnya atau catatan
MAHKAMAH AGUNG,2635 B/PK/PJK/2022,4,PT BATUTUA TEMBAGA RAYA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2634 B/PK/PJK/2022,4,PT PANASONIC GOBEL INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2623 B/PK/PJK/2022,5,BUT CHEVRON INDONESIA COMPANY,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2622 B/PK/PJK/2022,5,PT BERLIAN ABADUA SATU,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2621 B/PK/PJK/2022,5,PT PPG INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2620 B/PK/PJK/2022,4,PT ORACLE INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 26PPh26,2022,Tolak,—
MAHKAMAH AGUNG,2619 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT KUSUMO DEWI ABADI,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2618 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT KUSUMO DEWI ABADI,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2617 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT KUSUMO DEWI ABADI,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2616 B/PK/PJK/2022,4,PT LONTAR PAPYRUS PULP & PAPER INDUSTRY,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 26PPh26,2022,Tolak,—
MAHKAMAH AGUNG,2615 B/PK/PJK/2022,4,PT LONTAR PAPYRUS PULP & PAPER INDUSTRY,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 26PPh26,2022,Tolak,—
MAHKAMAH AGUNG,2614 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT SENDANG ASRI KENCANA,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2613 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT UNELEC INDONESIA (UNINDO),Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2609 B/PK/PJK/2022,4,PT REKAYASA INDUSTRI,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 26PPh26,2022,Tolak,—
MAHKAMAH AGUNG,2608 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT REBINMAS JAYA,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,2607 B/PK/PJK/2022,4,PT WARU KALTIM PLANTATION,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2606 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT WARU KALTIM PLANTATION,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2604 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT HALIM TIRTALESTARI,Peninjauan Kembali,Bea Masuk,2022,Tolak,—
MAHKAMAH AGUNG,2602 B/PK/PJK/2022,4,PT OGY KARYA PRATAMA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Gugatan tidak dapat diterima,NO
MAHKAMAH AGUNG,2601 B/PK/PJK/2022,4,PT OGY KARYA PRATAMA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Gugatan tidak dapat diterima,NO
MAHKAMAH AGUNG,2600 B/PK/PJK/2022,4,PT OGY KARYA PRATAMA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Gugatan tidak dapat diterima,NO
MAHKAMAH AGUNG,2599 B/PK/PJK/2022,4,PT OGY KARYA PRATAMA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2597 B/PK/PJK/2022,5,PT PERKASAMAS LANGGENG,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Kabul,—
MAHKAMAH AGUNG,2339 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2594 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT INDOSINGA INVETAMA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2591 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Bea Masuk,2022,Tolak,—
MAHKAMAH AGUNG,2309 B/PK/PJK/2022,4,PT PRABU ALASKA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Kabul,—
MAHKAMAH AGUNG,2300 B/PK/PJK/2022,4,PT PRABU ALASKA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Kabul,—
MAHKAMAH AGUNG,2291 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT PATRA SK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2219 B/PK/PJK/2022,4,PT PERKASAMAS LANGGENG,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2180 B/PK/PJK/2022,4,PT BHUMIREKSA NUSASEJATI,PT BHUMIREKSA NUSASEJATI,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Kabul,—
MAHKAMAH AGUNG,2233 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2179 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT AGINCOURT RESOURCES,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2160 B/PK/PJK/2022,4,BUT SAPURA DRILLING BERANI LTD,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2159 B/PK/PJK/2022,4,BUT SAPURA DRILLING BERANI LTD,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2157 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2147 B/PK/PJK/2022,4,PT SAMSUNG ELECTRONICS INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2091 B/PK/PJK/2022,5,DIREKTUR JENDERAL PAJAK,BUT EXXONMOBIL OIL INDONESIA INC,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Kabul,—
MAHKAMAH AGUNG,2039 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2038 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2037 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,1858 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2036 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2035 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2034 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2033 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2032 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HARAPAN SAWIT LESTARI,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,—
MAHKAMAH AGUNG,2031 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HANJAYA MANDALA SAMPOERNA TBK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2030 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT HANJAYA MANDALA SAMPOERNA TBK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2029 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT TETRASETIA INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2028 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT YAKULT INDONESIA PERSADA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2027 B/PK/PJK/2022,6,PT ERAMAS PERSADA ENERGY,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2026 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT FREEPORT INDONESIA,Peninjauan Kembali,Bea Masuk,2022,Tolak,—
MAHKAMAH AGUNG,2021 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT WILMAR NABATI INDONESIA,Peninjauan Kembali,Bea Masuk,2022,Gugatan tidak dapat diterima,NO
MAHKAMAH AGUNG,2020 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT SANYO SPECIAL STEEL INDONESIA,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,2019 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT PERKEBUNAN NUSANTARA XIII,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2018 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT BINAPRATAMA SAKATOJAYA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2017 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT MUSASHI AUTO PARTS INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2017 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT MUSASHI AUTO PARTS INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2016 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT PERTAMINA HULU ENERGI RAJA TEMPIRAI,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,2009 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT FREEPORT INDONESIA,Peninjauan Kembali,Bea Masuk,2022,Kabul,—
